index,lat,lon,avg_pm25,risk
118,30.35,78.055,24.164364779874212,LOW
119,30.3121,78.0432,34.383677148846964,LOW
120,30.3272,78.0612,18.839366876310272,LOW
121,30.3348,77.9962,33.29519077568134,LOW
122,30.3215,78.041,26.871486373165617,LOW
123,30.362,78.048,23.10503983228512,LOW
124,30.385,78.065,25.9197106918239,LOW
125,29.9582,78.1642,23.310075471698113,LOW
126,29.92,78.14,34.75327463312369,LOW
127,29.945,78.155,22.17938155136268,LOW
128,29.98,78.135,25.075744234800844,LOW
129,29.965,78.12,25.248872117400417,LOW
130,29.946,78.162,22.17938155136268,LOW
131,29.93,78.15,17.09061215932914,LOW
132,29.91,78.125,35.5919748427673,LOW
133,30.127,78.324,21.078775681341718,LOW
134,30.1058,78.2983,21.358999999999998,LOW
135,30.095,78.28,28.776658280922433,LOW
136,30.118,78.305,14.674285115303983,LOW
137,30.102,78.3,21.358999999999998,LOW
138,30.08,78.275,29.060725366876312,LOW
139,30.072,78.29,31.020146750524106,LOW
140,30.3398,78.0644,25.332410901467508,LOW
141,30.3165,78.0322,25.635656184486372,LOW
142,30.3245,78.0425,26.871486373165617,LOW
143,30.275,78.02,30.354331236897277,LOW
144,30.3058,77.9958,18.319446540880502,LOW
145,30.36,77.98,28.735274633123687,LOW
146,30.35,78.055,24.164364779874212,LOW
147,30.3121,78.0432,34.383677148846964,LOW
148,30.3272,78.0612,18.839366876310272,LOW
149,30.3348,77.9962,33.29519077568134,LOW
150,30.3215,78.041,26.871486373165617,LOW
151,30.362,78.048,23.10503983228512,LOW
152,30.385,78.065,25.9197106918239,LOW
153,29.9582,78.1642,23.310075471698113,LOW
154,29.92,78.14,34.75327463312369,LOW
155,29.945,78.155,22.17938155136268,LOW
156,29.98,78.135,25.075744234800844,LOW
157,29.965,78.12,25.248872117400417,LOW
158,29.946,78.162,22.17938155136268,LOW
159,29.93,78.15,17.09061215932914,LOW
160,29.91,78.125,35.5919748427673,LOW
161,30.127,78.324,21.078775681341718,LOW
162,30.1058,78.2983,21.358999999999998,LOW
163,30.095,78.28,28.776658280922433,LOW
164,30.118,78.305,14.674285115303983,LOW
165,30.102,78.3,21.358999999999998,LOW
166,30.08,78.275,29.060725366876312,LOW
167,30.072,78.29,31.020146750524106,LOW
168,30.3398,78.0644,25.332410901467508,LOW
169,30.3165,78.0322,25.635656184486372,LOW
170,30.3245,78.0425,26.871486373165617,LOW
171,30.275,78.02,30.354331236897277,LOW
172,30.3058,77.9958,18.319446540880502,LOW
173,30.36,77.98,28.735274633123687,LOW
174,30.35,78.055,24.164364779874212,LOW
175,30.3121,78.0432,34.383677148846964,LOW
176,30.3272,78.0612,18.839366876310272,LOW
177,30.3348,77.9962,33.29519077568134,LOW
178,30.3215,78.041,26.871486373165617,LOW
179,30.362,78.048,23.10503983228512,LOW
180,30.385,78.065,25.9197106918239,LOW
181,29.9582,78.1642,23.310075471698113,LOW
182,29.92,78.14,34.75327463312369,LOW
183,29.945,78.155,22.17938155136268,LOW
184,29.98,78.135,25.075744234800844,LOW
185,29.965,78.12,25.248872117400417,LOW
186,29.946,78.162,22.17938155136268,LOW
187,29.93,78.15,17.09061215932914,LOW
188,29.91,78.125,35.5919748427673,LOW
189,30.127,78.324,21.078775681341718,LOW
190,30.1058,78.2983,21.358999999999998,LOW
191,30.095,78.28,28.776658280922433,LOW
192,30.118,78.305,14.674285115303983,LOW
193,30.102,78.3,21.358999999999998,LOW
194,30.08,78.275,29.060725366876312,LOW
195,30.072,78.29,31.020146750524106,LOW
196,30.3398,78.0644,25.332410901467508,LOW
197,30.3165,78.0322,25.635656184486372,LOW
198,30.3245,78.0425,26.871486373165617,LOW
199,30.275,78.02,30.354331236897277,LOW
200,30.3058,77.9958,18.319446540880502,LOW
201,30.36,77.98,28.735274633123687,LOW
202,30.35,78.055,24.164364779874212,LOW
203,30.3121,78.0432,34.383677148846964,LOW
204,30.3272,78.0612,18.839366876310272,LOW
205,30.3348,77.9962,33.29519077568134,LOW
206,30.3215,78.041,26.871486373165617,LOW
207,30.362,78.048,23.10503983228512,LOW
208,30.385,78.065,25.9197106918239,LOW
209,29.9582,78.1642,23.310075471698113,LOW
210,29.92,78.14,34.75327463312369,LOW
211,29.945,78.155,22.17938155136268,LOW
212,29.98,78.135,25.075744234800844,LOW
213,29.965,78.12,25.248872117400417,LOW
214,29.946,78.162,22.17938155136268,LOW
215,29.93,78.15,17.09061215932914,LOW
216,29.91,78.125,35.5919748427673,LOW
217,30.127,78.324,21.078775681341718,LOW
218,30.1058,78.2983,21.358999999999998,LOW
219,30.095,78.28,28.776658280922433,LOW
220,30.118,78.305,14.674285115303983,LOW
221,30.102,78.3,21.358999999999998,LOW
222,30.08,78.275,29.060725366876312,LOW
223,30.072,78.29,31.020146750524106,LOW
224,30.3398,78.0644,25.332410901467508,LOW
225,30.3165,78.0322,25.635656184486372,LOW
226,30.3245,78.0425,26.871486373165617,LOW
227,30.275,78.02,30.354331236897277,LOW
228,30.3058,77.9958,18.319446540880502,LOW
229,30.36,77.98,28.735274633123687,LOW
